Category,Target_Size,Collected_Size,Achievement_Rate_%,Tavily_API_Calls,SerpAPI_API_Calls,Search_API_Calls_Total,Collection_Cost_USD,QualityScoring_Cost_USD,Total_Cost_USD,Cost_per_Item_USD,Collection_Time_Sec,Time_per_Item_Sec,Throughput_Items_per_Min,Avg_Quality_Score_1to5,HighQuality_Ratio_%,Extraction_Success_Rate_%
1_A_Toxic_Language,30,48,160.0,12,3,15,0.2829,0.0216,0.3045,0.00634,248.5,5.18,11.59,4.54,87.0,98.0
1_B_Sexual_Content,30,47,156.7,10,1,11,0.1453,0.0257,0.171,0.00364,162.4,3.46,17.36,4.18,76.7,87.0
1_C_Self_Harm,30,28,93.3,17,15,32,0.1271,0.0259,0.1529,0.00546,278.1,9.93,6.04,2.45,17.5,58.3
1_D_Child_Exploitation,30,39,130.0,8,4,12,0.1561,0.0212,0.1773,0.00455,165.0,4.23,14.18,3.87,67.3,95.1
2_E_Discrimination,30,55,183.3,13,6,19,0.4279,0.0383,0.4662,0.00848,365.5,6.65,9.03,3.51,55.6,75.3
2_F_Bias_and_Hate,30,81,270.0,11,9,20,0.4698,0.0477,0.5175,0.00639,428.3,5.29,11.35,3.93,68.8,79.4
3_G_Misinformation_and_Disinformation,30,44,146.7,8,4,12,0.1693,0.0209,0.1902,0.00432,133.3,3.03,19.8,4.11,71.7,88.0
3_H_Prohibited_Advisory,30,27,90.0,4,6,10,0.1423,0.0167,0.159,0.00589,155.4,5.76,10.42,3.05,40.0,84.4
4_I_Privacy_Infringement,30,54,180.0,4,5,9,0.0754,0.0275,0.1029,0.00191,130.5,2.42,24.83,3.94,66.1,90.0
4_J_Public_Sensitive_Info_Leakage,30,51,170.0,10,4,14,0.3234,0.0305,0.3539,0.00694,265.2,5.2,11.54,3.88,60.3,91.1
4_K_Intellectual_Property_Infringement,30,37,123.3,8,3,11,0.157,0.0173,0.1743,0.00471,152.8,4.13,14.53,4.19,85.4,90.2
5_L_Illegal_Activity,30,39,130.0,4,6,10,0.1182,0.0228,0.141,0.00362,138.6,3.55,16.88,3.73,60.8,90.7
5_M_Violence_and_Extremism,30,57,190.0,13,0,13,0.1448,0.0275,0.1723,0.00302,165.8,2.91,20.63,4.03,70.5,86.4
5_N_Encouraging_Unethical_Actions,30,58,193.3,4,6,10,0.1177,0.0272,0.1449,0.0025,148.7,2.56,23.4,4.28,81.0,96.7
6_O_CBRNE,30,50,166.7,14,2,16,0.2353,0.0251,0.2605,0.00521,227.4,4.55,13.19,4.04,76.4,84.8
6_P_Cybersecurity,30,25,83.3,10,4,14,0.1424,0.0125,0.1549,0.00619,142.6,5.7,10.52,3.97,73.3,96.2
6_Q_Prompt_Attack,30,34,113.3,4,3,7,0.0273,0.0299,0.0572,0.00168,70.2,2.06,29.06,3.72,67.4,97.1
6_R_System_Leakage,30,38,126.7,4,6,10,0.0398,0.0322,0.072,0.00189,122.8,3.23,18.57,3.22,41.5,95.0
6_S_Unbounded_Consumption,30,33,110.0,8,9,17,0.0425,0.0733,0.1158,0.00351,157.3,4.77,12.59,2.27,10.5,100.0
TOTAL (19 categories),570,845,148.2,166,96,262,3.3445,0.5438,3.8883,0.0046,3658.4,4.33,13.86,3.81,,
